title,genres,overview,director,production_companies
Pokémon the Movie Black: Victini and Reshiram,"['Animation', 'Family', 'Adventure']","The Kingdom of the People of the Vale once ruled over the land, but now all that remains is the Sword of the Vale. in the city of Eindoak. Ash, Iris, and Cilan arrive in Eindoak during a harvest festival's Pokémon Tournament and meet the legendary Pokémon Victini who wishes to share its powers of victory to someone. Elsewhere in the city, a descendant of the People of the Vale named Damon has arrived who seeks to revive the kingdom's power with the Sword of the Vale, bringing them back into power over the land, and Ash and his friends must stop him before he destroys the land along with Victini.",Kunihiko Yuyama,['Universal Pictures']
Pokémon the Movie White: Victini and Zekrom,"['Adventure', 'Animation', 'Family']","The Kingdom of the People of the Vale once ruled over the land, but now all that remains is the Sword of the Vale. in the city of Eindoak. Ash, Iris, and Cilan arrive in Eindoak during a harvest festival's Pokémon Tournament and meet the legendary Pokémon Victini who wishes to share its powers of victory to someone. Elsewhere in the city, a descendant of the People of the Vale named Damon has arrived who seeks to revive the kingdom's power with the Sword of the Vale, bringing them back into power over the land, and Ash and his friends must stop him before he destroys the land along with Victini.",Kunihiko Yuyama,['Universal Pictures']
Jesse Stone: Stone Cold,"['TV Movie', 'Crime', 'Drama', 'Thriller']","Jesse Stone is a former L.A. homicide detective who left behind the big city and an ex-wife to become the police chief of the quiet New England fishing town of Paradise. Stone's old habits die hard as he continues to indulge his two favorite things--scotch and women. When a series of murders takes place and a high school girl is raped, he's forced to face his own demons in order to solve the crimes. And, since these are the first murders to occur in Paradise, Jesse must also train his inexperienced staff of police officers to assist in the investigation to find the killers and the rapist before they can strike again.",Robert Harmon,"['Brandman Productions', 'Sony Pictures Television', 'TWS Productions II']"
Jesse Stone: Death in Paradise,"['Drama', 'Thriller', 'Crime', 'Mystery']",Small-time police chief and struggling alcoholic Jesse Stone looks into the murder of a teen-age girl whose body is found floating in a local lake. The case brings the former LAPD cop up against the Boston mob and into the affluent world of a bestselling writer who exploits troubled teens.,Robert Harmon,"['Brandman Productions', 'Sony Pictures Television', 'TWS Productions II']"
Jesse Stone: Sea Change,"['TV Movie', 'Drama', 'Thriller', 'Crime']","When Police Chief Jesse Stone's relationship with his ex-wife worsens, he fears he will relapse into alcoholism. To get his mind off his problems, Jesse begins working on the unsolved murder of a bank teller shot during a robbery. Meanwhile, Stone's investigation of an alleged rape draws him into conflict with the town council, which hopes to preserve Paradise's reputation as an ideal seaside resort.",Robert Harmon,"['Brandman Productions', 'Sony Pictures Television', 'TWS Productions II']"
Jesse Stone: No Remorse,"['Drama', 'Thriller', 'Crime', 'Mystery']","Police Chief Jesse Stone, who was suspended by the Paradise, Mass. Town Council, begins moonlighting for his friend, State Homicide Commander Healy, by investigating a series of murders in Boston, leaving Rose and Suitcase to handle a crime spree in Paradise on their own. Jesse pours his energy into his work in an effort to push away his twin demons: booze and women. When his investigation leads to notorious mob boss Gino Fish, Jesse's pursuit becomes hazardous.",Robert Harmon,"['Brandman Productions', 'Sony Pictures Television', 'TWS Productions II']"
Jesse Stone: Innocents Lost,"['TV Movie', 'Drama', 'Thriller', 'Crime', 'Mystery']",Jesse investigates the suspicious death of a young friend while the police force deals with the arrogant new police chief who is the son-in-law of a town councilman.,Dick Lowry,"['Brandman Productions', 'Sony Pictures Television', 'TWS Productions II']"
Jesse Stone: Benefit of the Doubt,"['Drama', 'Thriller', 'Crime', 'Mystery']","Jesse finds himself struggling to get his job back as the Paradise police chief, and he is forced to rely on his cop intuition to sort through a maze of misleading clues and hidden meanings as he attempts to solve a shocking and horrifying mob-related double homicide.",Robert Harmon,"['Brandman Productions', 'Sony Pictures Television', 'TWS Productions II']"
Outpost: Black Sun,"['Action', 'Horror']","A pair of investigators team up with a Special Forces Unit to venture deep inside a war raging between the military and a massive army of Nazi Zombie Stormtroopers. Their mission is to fight their way behind enemy lines, locate the technology at the source of this growing threat and prevent the seemingly inevitable rise of the 4th Reich.",Steve Barker,['Black Camel Pictures']
Up In Smoke,['Comedy'],"The Bowery Boys: In order to be able to get the names of winning horses at the track, Sach agrees to sell his soul to the devil.",William Beaudine,['Allied Artists Pictures']
Made in Hong Kong,"['Crime', 'Drama', 'Romance']","The first independent film to emerge from the former British colony since the changeover to China in 1997, Made in Hong Kong is an intoxicating drama about teenage alienation.",Fruit Chan,"['Nicetop Independent', 'Nicetop Independent Ltd']"
Night of the Demons 2,"['Comedy', 'Horror']","Angela, the universe's most unpleasant party crasher, returns! Angela's sister, Mouse, is taken by her bullying Catholic school classmates to a party at Angela's favorite haunt, and before long, everybody's being turned into demons and only a butt-kickin' nun, who wields her ruler like a mighty sword of steel, can save the day.",Brian Trenchard-Smith,"['Republic Pictures', 'Blue Rider Pictures']"
Death Race: Inferno,"['Action', 'Science Fiction', 'Thriller']","Carl Lucas / Frankenstein has won four of his races and needs to win one more to win his freedom. Before his final race, Lucas and his team, car and all, are transferred to another prison where they will compete in a Death Race in the desert. Also, at the same time, Ceaser runs into a marketer who wants to franchise the Death Race program.",Roel Reiné,"['Moonlighting Films', 'CC Capital Arts Entertainment SRL']"
Angelique,"['Adventure', 'Romance', 'History']","In 17th-century France, beautiful country maiden Angélique (Michèle Mercier) marries wealthy neighbor Jeoffray de Peyrac (Robert Hossein) out of convenience, but eventually, she falls in love with him. So when Jeoffray is arrested and then vanishes, she bravely sets out to find him. This is the first of many dramas based on Anne and Serge Golon's novels about strong-willed Angélique and her adventures during the reign of Louis XIV, the Sun King.",Bernard Borderie,"['Fono Roma', 'Franco London Films', 'Compagnie Industrielle et Commerciale Cinématographique (CICC)']"
Godzilla vs. Gigan,"['Foreign', 'Science Fiction']","Godzilla's 12th film. After a accepting a job at a monster-themed park, a man learns his new employers are actually aliens who plan to use Ghidorah and Gigan to destroy earth.  Godzilla and Anguirus must battle them to defend earth.",Jun Fukuda,"['Toho Film (Eiga) Co. Ltd.', 'Toho Company', 'Toho Eizo Co.']"
Confessions of a Driving Instructor,['Comedy'],"Timothy Lea and his brother-in-law Sidney decide upon opening a driving school as their latest get-rich-quick scheme. Though he sincerely wants to teach, young Timmy finds that his female students are far more interested in keeping their eyes on him than on the road.",Norman Cohen,[]
Confessions from a Holiday Camp,"['Comedy', 'Romance']","Timmy Lea and his brother-in-law Sidney Noggett are working as entertainment officers at Funfrall, a typical British holiday camp. The staff are lazy and inefficient, preferring to laze by the pool rather than organise activities for the holiday campers. A new owner, Mr. Whitemonk, an ex-prison officer, takes over the camp and is determined to install discipline into the staff. He is on the verge of dismissing Timmy and Sidney; however, Sidney's suggestion of organising a beauty contest changes his mind.",Norman Cohen,['Columbia Pictures Corporation']
The Haunting in Connecticut 2: Ghosts of Georgia,"['Horror', 'Drama', 'Thriller']",Sequel to the 2009 mezzo-mezzo supernatural horror purporting to be based on a true story in which a cancer-afflicted teen starts seeing things in the new Victorian house he and his family moved into.,Tom Elkins,['Gold Circle Films']
Resident Evil: Degeneration,"['Animation', 'Horror', 'Action', 'Science Fiction']","A zombie attack brings chaos to Harvardville Airport. Leon Kennedy and Claire Redfield , who fought the sinister Umbrella Corporation during the Raccoon City tragedy 7 years ago, are back. In high-octane Resident Evil style, they're ready to battle a rogue warrior who is seeking revenge after his family was killed in Raccoon City. The deadly G-Virus is unleashed and a new mutated monster rampages.",Makoto Kamiya,"['Sony Pictures Entertainment', 'Capcom']"
The ABCs of Death,['Horror'],"An ambitious anthology film featuring segments directed by over two dozen of the world's leading talents in contemporary genre film. Inspired by children's educational ABC books, the motion picture is comprised of 26 individual chapters, each helmed by a different director assigned a letter of the alphabet. The directors were then given free reign in choosing a word to create a story involving death. Provocative, shocking, funny and ultimately confrontational; THE ABC's OF DEATH is the definitive snapshot of the diversity of modern horror.",Xavier Gens,"['Magnet Releasing', 'Drafthouse Films']"
Rainy Dog,"['Crime', 'Action', 'Drama']",A Japanese assassin stranded in Taiwan must take work from a local crime boss to make ends meet when suddenly a woman from his past delivers a son to him.,Takashi Miike,[]
Resident Evil: Damnation,['Animation'],"U.S. federal agent Leon S. Kennedy sneaks into the ""East Slavic Republic"" to verify rumors that Bio-Organic Weapons (BOWs) are being used in the country's civil war, which the U.S. and Russia are making preparations to jointly intervene in. Right after his infiltration, the U.S. government orders him to leave immediately. Determined to uncover the truth, Leon ignores the order and enters the battlefield to end the chain of tragedies caused by the BOWs.",Makoto Kamiya,"['Digital Frontier', 'Sony Pictures Entertainment', 'Capcom Company']"
Chinese Zodiac,"['Action', 'Adventure']","Asian Hawk (Jackie Chan) leads a mercenary team to recover several lost artifacts from the Old Summer Palace, the bronze heads of the 12 Chinese Zodiac animals which were sacked by the French and British armies from the imperial Summer Palace in Beijing in 1860. Assisted by a Chinese student & a Parisian lady, Hawk stops at nothing to accomplish the mission.",Jackie Chan,"['Emperor Motion Pictures', 'JCE Movies']"
Living Free,"['Adventure', 'Drama', 'Family', 'Foreign']","When Elsa's three mischievious cubs begin wreaking havok on the nearby villages, Joy and her husband are forced to move them hundreds of miles to a game preserve.",Jack Couffer,[]
A Good Day to Die Hard,"['Action', 'Thriller']","Iconoclastic, take-no-prisoners cop John McClane, finds himself for the first time on foreign soil after traveling to Moscow to help his wayward son Jack - unaware that Jack is really a highly-trained CIA operative out to stop a nuclear weapons heist. With the Russian underworld in pursuit, and battling a countdown to war, the two McClanes discover that their opposing methods make them unstoppable heroes.",John Moore,"['Ingenious Media', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Mid Atlantic Films', 'Big Screen Productions', 'Temple Hill Entertainment', 'TSG Entertainment', 'Giant Pictures', 'Origo Film Group']"
Åsa-Nisse - Welcome to Knohult,['Comedy'],"In Knohult things havn't changed much. Eulalia is tired of Nisse who's engaged in all sorts of inventions in his workshop or poaching in the forest rather than to repair the water pump. When Eulalia in protest begins swimming in soft drinks and water the plants with spirit Åsa-Nisse sees nothing else to do but to repair the pump. As with all his inventions he adds a few extra features ... When he starts the machine the ground rumbles and up comes oil instead of water! Now, not only Åsa-Nisse, but the whole Knohult sees their chance to become wealthy! But ""Dunderpumpen"", as he calles the invention, turns out to be stronger than anyone had imagined, and when shady Scanian oil magnates with support of the Swedish government wants their share of the pie Knohult declares themselves a republic...",Fredrik Boklund,"['Nordisk Film', 'Film i Väst', 'TV4 Sweden AB', 'Modern Studios', 'Strix Drama AB', 'Lester Film', 'LiteGrip AB', 'Fido Film AB']"
Universal Soldier: Day of Reckoning,"['Thriller', 'Action', 'Science Fiction', 'Horror', 'Mystery']","In a world without government, the surviving Unisols maintain order and choose the strongest of their ranks to rule, testing them in life-or-death combat.",John Hyams,"['Signature Pictures', 'Foresight Unlimited', 'Baumgarten Management and Productions (BMP)']"
Before Midnight,"['Romance', 'Drama']",We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.,Richard Linklater,"['Sony Pictures Classics', 'Castle Rock Entertainment', 'Detour Filmproduction', 'Faliro House Productions', 'Venture Forth']"
Starship Troopers: Invasion,"['Animation', 'Action', 'Science Fiction']","A distant Federation outpost Fort Casey comes under attack by bugs. The team on the fast attack ship Alesia is assigned to help the Starship John A. Warden stationed in Fort Casey evacuate along with the survivors and bring military intelligence safely back to Earth. Carl Jenkins, now ministry of Paranormal Warfare, takes the starship on a clandestine mission before its rendezvous with the Alesia and goes missing in the nebula. Now, the battle-hardened troopers are charged with a rescue mission that may lead to a much more sinister consequence than they ever could have imagined....",Shinji Aramaki,"['Sola Digital Arts', 'Stage 6 Films']"
Lucifer Rising,"['Mystery', 'Fantasy']","Lucifer Rising is a short film by director Kenneth Anger. The film was completed in 1972 and starred British singer Marianne Faithfull, but only widely distributed in 1980. The film's soundtrack was composed by Bobby Beausoleil.",Kenneth Anger,"['Norddeutscher Rundfunk (NDR)', 'Puck Film Productions', 'Vaughan Films', 'British Film Finance']"
Journey to the West: Conquering the Demons,"['Action', 'Fantasy', 'Adventure', 'Comedy']","In a world plagued by demons who cause great human suffering, young demon hunter Xuan Zang risks his all to conquer a water demon, a pig demon and the demon of all demons, Sun Wukong.",Stephen Chow,"['Huayi Brothers', 'EDKO Film', 'China Film Group Corporation (CFGC)', 'Bingo Movie Development', 'Village Roadshow Pictures Asia', 'Chinavision Media Group']"
Maniac Cop 2,"['Horror', 'Thriller', 'Action']","A supernatural, maniac killer cop teams up with a Times Square serial killer.",William Lustig,"['Overseas FilmGroup', 'Medusa Pictures', 'The Movie House Sales Company', 'Fadd Enterprises']"
Fantômas: In the Shadow of the Guillotine,"['Crime', 'Drama']","For the arch-criminal Fantômas, no crime is too daring, too adventurous. A master of disguise, he has no trouble relieving the Princess Danidoff of her priceless pearl necklace at the Royal Palace Hotel. Inspectator Juve is determined to capture Fantômas and put an end to his limitless villainy. Whilst investigating the disappearance of Lord Beltham, Juve finds himself on the trail of his arch-enemy once more. He discovers that Beltham’s widow has been having a secret affair with a mysterious stranger, Gurn. In Gurn’s apartment, Juve discovers the dead body of Lord Beltham and business cards bearing the name Fantômas. A triumphant Juve makes an easy arrest of Gurn, alias Fantômas, and is sure that nothing can save the evil-doer from the guillotine. But Lady Beltham has an ingenious plan to save her lover, using an actor Valgrand who closely resembles Gurn.",Louis Feuillade,[]
The Last Exorcism Part II,"['Horror', 'Thriller']","As Nell Sweetzer tries to build a new life after the events of the first movie, the evil force that once possessed her returns with an even more horrific plan.",Ed Gass-Donnelly,"['StudioCanal', 'CBS Films']"
G.I. Joe: Retaliation,"['Adventure', 'Action', 'Science Fiction', 'Thriller']","Framed for crimes against the country, the G.I. Joe team is terminated by Presidential order. This forces the G.I. Joes into not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence.",Jon M. Chu,"['Paramount Pictures', 'Di Bonaventura Pictures', 'Hasbro', 'Skydance Productions', 'Metro-Goldwyn-Mayer (MGM)', 'Saints LA']"
The Net 2.0,"['Action', 'Drama', 'Thriller']","The life of a young computer systems analyst is thrown into turmoil after arriving in Istanbul to start a new job. She soon finds her passport missing, her credit cards useless, her bank account empty and her identity stolen. As the story progresses we find people and events may not be what they seem ...",Charles Winkler,[]
The Croods,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']","The Croods is a prehistoric comedy adventure that follows the world's first family as they embark on a journey of a lifetime when the cave that has always shielded them from danger is destroyed. Traveling across a spectacular landscape, the Croods discover an incredible new world filled with fantastic creatures -- and their outlook is changed forever.",Chris Sanders,['DreamWorks Animation']
The Trial of the Incredible Hulk,"['Adventure', 'Fantasy', 'Drama', 'Action', 'Science Fiction']","On the run again, Dr. David Banner is jailed for assault after interrupting a mugging. Blind attorney Matt Murdock enlists Banner's help in locating the muggers because he believes they work for his longtime foe, Fisk, the head of an international crime network. But David, afraid of public exposure, breaks out of jail as the Hulk. Tracking David down, Murdock reveals his own secret: His blindness came from a radioactive spill, and after developing his other senses so incredibly, he has become the amazingly athletic crime fighter called Daredevil. Fisk must now face off against Daredevil and the Incredible Hulk!",Bill Bixby,['New World Television']
Outlaw of Gor,"['Science Fiction', 'Action', 'Fantasy']","An Earthman returns to the planet Gor, and fights against tyranny.",John 'Bud' Cardos,[]
Olympus Has Fallen,"['Action', 'Thriller']","When the White House (Secret Service Code: ""Olympus"") is captured by a terrorist mastermind and the President is kidnapped, disgraced former Presidential guard Mike Banning finds himself trapped within the building. As the national security team scrambles to respond, they are forced to rely on Banning's inside knowledge to help retake the White House, save the President and avert an even bigger disaster.",Antoine Fuqua,"['Nu Image Films', 'Millennium Films']"
Don : The Chase Begins Again,"['Action', 'Drama', 'Thriller']","A huge South Asian law enforcement contingent embarks on a dangerous cat-and-mouse game of capturing DON (Shah Rukh Khan) - high-ranking member of the ruthless drug mafia in Malaysia. When DON gets seriously injured in a police encounter, the word that he is dead begins to do the rounds. The reality, of course, is that DON is held captive in a secret location, while his bumpkin of a look-alike, Vijay, is polished and sent to infiltrate DON's gang. In a bizarre twist of fate, when the policeman shielding the humble street singer Vijay, is killed, the latter comes to terms with the horrifying realization that both the police and the gang are out to get him for different reasons. In a desperate attempt to prove his innocence, he is aided by the glamorous Roma (Priyanka Chopra), and ex-con Jasjit (Arjun Rampal), who owes Vijay a debt for caring for his son during his imprisonment. But will Vijay be successful in his mission?",Farhan Akhtar,"['Excel Entertainment', 'Eros International']"
Dr. Dolittle 3,"['Comedy', 'Family', 'Fantasy']","Lisa Dolittle sends her daughter to 'Durango', a Dude Ranch, to find herself. While there, she uses her talent to talk to the animals in order to save Durango from being taken over by a neighboring Ranch.",Rich Thorne,"['Davis Entertainment', '20th Century Fox Home Entertainment', 'D3C Productions Ltd.']"
The Ghost Galleon,['Horror'],"After a pair of models go missing from a boat, a rescue party discover an empty galleon carrying the coffins of the long dead Knights Templar. The rescue party board the galleon and then discover their own boat has vanished. The survivors struggle to fight off the spectral knights with what little knowledge they have of them.",Amando de Ossorio,"['Ancla Century Films', 'Belén Films']"
009 Re: Cyborg,"['Action', 'Animation', 'Science Fiction']","009 Re:Cyborg follows a group of nine cyborgs, each of them created by a shadowy organization for use as weapons against humanity. The group turns on their creators to protect the population instead, using the powers given them to fight their creators.",Kenji Kamiyama,['Production I.G.']
Koi... Mil Gaya,"['Drama', 'Action', 'Science Fiction', 'Romance', 'Foreign']","Ranjit Mehra and his wife Sonia live a middle-class life in rural India. Ranjit's passion is studying the heavenly bodies through various computers, telescopes, and communicators as he believes there is life beyond Earth. He continuously transmits the sound generated by the syllable ""om"" and hopes that someone somewhere will hear this and respond to it.",Rakesh Roshan,['Filmkraft Productions Pvt. Ltd']
Scary Movie 5,['Comedy'],"Home with their newly-formed family, happy parents Dan and Jody are haunted by sinister, paranormal activities. Determined to expel the insidious force, they install security cameras and discover their family is being stalked by an evil dead demon.",Malcolm D. Lee,['Dimension Films']
Breaking Wind,"['Horror', 'Comedy']","A comedic spoof based on the worldwide phenomenon ""The Twilight Saga.""",Craig Moss,[]
Justice League: Doom,"['Action', 'Animation', 'Thriller']","An adaptation of Mark Waid's ""Tower of Babel"" story from the JLA comic. Vandal Savage steals confidential files Batman has compiled on the members of the Justice League, and learns all their weaknesses.",Lauren Montgomery,"['DC Comics', 'Warner Bros. Animation', 'DC Entertainment']"
Iron Man 3,"['Action', 'Adventure', 'Science Fiction']","When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",Shane Black,['Marvel Studios']
The Black Camel,"['Thriller', 'Crime', 'Comedy', 'Mystery', 'Drama']","Movie star Shelah Fane is seeing wealthy Alan Jaynes while filming in Honolulu, Hawaii, but won't marry him without consulting famed psychic Tanaverro first. Tanaverro confronts her about the unsolved murder of fellow film star Denny Mayo three years earlier, and she decides to reject Jaynes' proposal. When Shelah is found shot to death in her beach-front pavilion, Charlie Chan of the Honolulu Police investigates.",Hamilton MacFadden,['Fox Film Corporation']
The Human Tornado,"['Action', 'Comedy']","Dolemite comes to the rescue of Queen Bee, whose Nightclub is threatened by the Mafia.",Cliff Roquemore,['Comedian International']
Perils of the Sentimental Swordsman,['Action'],"Chu Liu-hsiang, the charming, capable, and, yes, sentimental, swordsman is back in action for this extremely well-named third in the hit box-office series. The titanic team of director Chu Yuan and novelist Ku Lung wisely choose to give their hero a whole new, non-stop, cliffhanger-fraught adventure featuring a mystery swordsman, a sensual swordswoman, an imperial assassin, a Ghost Mansion, the Bat Island, a booby-trapped tunnel, double crosses, and secret missions. And there are no fewer than three martial arts choreographers on hand to guide the amazing mayhem.",Chor Yuen,['Shaw Brothers']
Ju-on: White Ghost,['Horror'],Akane begins seeing visions of a female ghost wearing the same yellow hat and red satchel she wore as a school child.,Ryuta Miyake,"['Cell', 'Oz Company', 'Toei Video Company']"
Ju-on: Black Ghost,['Horror'],"A Nurse named Yuko (Ai Kago) has a strange experience while taking care of a girl named Fukie. Test results show a cyst inside Fukie’s body, but that cyst is actually the leftover grudge from a baby who was unable to be born. The cyst’s grudge spreads to Fukie and everyone around her. Soon Fukie’s father goes mad and commits murder. Fukie’s sister Mariko has special spiritual power, and together with their mother they have some success driving out the evil spirit. But the worst of the grudge is yet to come.",Mari Asato,"['Cell', 'Oz Company']"
The South Shaolin Master,['Action'],"The narrative centres on a nomadic opera troupe who travel to various towns as part of their nationwide tour and astound the locals with their skills. When visiting a coastal town, one of the young performers becomes involved in a market brawl after two local bullies begin to push their weight around. The righteous young performer is saved from a vicious beating at the hands of the thugs by a mysterious fighter who uses his sublime abilities to save the day. He gradually reveals to his new friends that he is a former Shaolin student and a staunch patriot - readily opposing the Manchu rulers. In a finale filled with glorious fight action, the time for revenge is realised and the battle between good and evil once again takes place.",Siao Lung,[]
The Sentimental Swordsman,"['Action', 'Adventure', 'Drama', 'Foreign']","Due to his own extreme ideals, famed swordsman Li has lost everyone dear to him. After his life is saved by a rival swordsman, Li's overwhelming pride means he forsakes the woman he loves and lets her marry his saviour. Li's only comfort is alcohol and the simple life he has now accepted. On one such journey, the lonely swordsman befriends the exceptionally skilled, yet secretive Fei who has his own pressures to contend with. The person behind Li's troubles proves to be elusive, though all the clues seem to point to the legendary 'Plum Blossom Bandit', a disguised figure whose identity has long proved elusive to the martial world.",Chor Yuen,['Shaw Brothers']
Fortress 2,"['Science Fiction', 'Action']","7 years on from the original Fortress movie, Brennick and his family are still on the run. Finally, they give in, and surrender, only to find themselves imprisoned in a new, more sophisticated fortress prison in outer space. But Brennick's not a man to give in easily, and with a 10 year old son waiting for him back on earth, he's going to pack some serious assault on the evil corporation.",Geoff Murphy,['Carousel Picture Company']
Star Trek Into Darkness,"['Action', 'Adventure', 'Science Fiction']","When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.",J.J. Abrams,"['Paramount Pictures', 'Skydance Productions', 'Bad Robot', 'Kurtzman/Orci']"
Zatôichi Meets Yojimbo,"['Adventure', 'Action', 'Drama']","With a price on his head, Ichi seeks tranquillity in a favorite village. Since his last visit, it has fallen prey to Boss Masagoro, the son of a merchant rumored to have stolen gold from the shogunate. The boss has hired Yojimbo as his hard-drinking enforcer, but Yojimbo is both a spy for the shogunate, trying to find the gold, and in love with the merchant's unwilling mistress, Umeno. Ichi hires on as the merchant's masseur and buys Umeno's freedom with his employer's own money. This embarrasses Yojimbo who withdraws from a pact with Ichi to stir up trouble between father and son and their gangs. As the two sides fight, Ichi finds the gold and sets up a final set of confrontations.",Kihachi Okamoto,['Toho Company']
Sissi: The Young Empress,"['Drama', 'Comedy', 'Romance']","Sissi is now the empress of Austria and attempts to learn etiquette. While she is busy being empress she also has to deal with her difficult new mother-in-law, while the arch-duchess Sophie is trying to tell the emperor how to rule and also Sissi how to be a mother.",Ernst Marischka,['Erma-Film']
The Hangover Part III,['Comedy'],"This time, there's no wedding. No bachelor party. What could go wrong, right? But when the Wolfpack hits the road, all bets are off.",Todd Phillips,"['Legendary Pictures', 'Green Hat Films']"
Fast & Furious 6,"['Action', 'Thriller', 'Crime']","Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets convoluted also facing his presumed deceased girlfriend, Letty.",Justin Lin,"['Universal Studios', 'Universal Pictures', 'Original Film', 'One Race Productions', 'Fuji Television Network', 'Dentsu', 'Relativity Media', 'Etalon film', 'F & F VI Productions A.I.E']"
Captain America,"['Action', 'TV Movie', 'Science Fiction']","An artist, Steve Rogers, is nearly murdered by spies, looking for his late father's national secrets. He is saved during surgery when a secret formula is injected into him; this serum not only heals him but also gives him fantastic strength and lightning reflexes.  To help him solve the mystery behind his father s murder and bring those guilty to justice, a government agency equips him with a special motorcycle loaded with gadgets and an indestructible shield. Now armed, he battles against the nation's enemies as the Sentinel of Liberty, Captain America.",Rod Holcomb,['Universal Television']
Captain America II: Death Too Soon,"['Action', 'Drama', 'Science Fiction', 'TV Movie']","A government agent is looking for a missing scientist, believing that a revolutionary leader known as Miguel (Christopher Lee Lord of the Rings) has him, and that he is using him to get his formula for something that can accelerate the aging process. He sends Steve Rogers aka Captain America (Red Brown) to find him and rescue the scientist, his only lead is a chemical that the scientist needs for his formula. As he gets closer to the truth Miguel threatens to spray the chemical on a major city unless his demands are met. But the President does not negotiate with terrorists, can Captain America save the day!?",Ivan Nagy,[]
The Devil's Carnival,['Horror'],"Sinners are invited to a theme park where they endure the repetition of their transgressions. What chances do a conniving kleptomaniac, a gullible teenager, and an obsessed father stand when facing their own moral failings? Lucifer and his colorful cast of singing carnies invite you to grab a ticket to The Devil’s Carnival to find out!",Darren Lynn Bousman,[]
Now You See Me,"['Thriller', 'Crime']",An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.,Louis Leterrier,"['Summit Entertainment', 'K/O Paper Products', 'SOIXAN7E QUIN5E', 'See Me Louisiana']"
They Call Us Misfits,['Documentary'],A documentary film depicting a group of young boys from Stockholm which live on the outskirts of society. The film is the first part of a trilogy.,Stefan Jarl,['Svenska Filminstitutet']
Man of Steel,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",Zack Snyder,"['Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy', 'Cruel and Unusual Films']"
The Purge,"['Science Fiction', 'Horror', 'Thriller']","Given the country's overcrowded prisons, the U.S. government begins to allow 12-hour periods of time in which all illegal activity is legal. During one of these free-for-alls, a family must protect themselves from a home invasion.",James DeMonaco,"['Universal Pictures', 'Why Not Productions', 'Platinum Dunes', 'Blumhouse Productions', '20th Century Fox Russia']"
Tetsuo: The Bullet Man,"['Action', 'Science Fiction', 'Horror', 'Thriller']","An American named Anthony is living and working in Tokyo and married to a Japanese woman. When their son is killed by the same driver who creates the Tetsuos in previous films, he makes the transformation into Tetsuo.",Shinya Tsukamoto,['Asmik Ace Entertainment']
Beverly Hills Chihuahua 3 - Viva La Fiesta!,"['Comedy', 'Family']","When Papi &amp; co move into a luxurious hotel, his youngest pup Rosa feels neglected and he must show her how special she is.",Lev L. Spiro,['Walt Disney Pictures']
Monsters University,"['Animation', 'Family']",A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,Dan Scanlon,"['Walt Disney Pictures', 'Pixar Animation Studios']"
Fullmetal Alchemist: The Sacred Star of Milos,"['Adventure', 'Fantasy', 'Animation', 'Action', 'Science Fiction']","After a mysterious prisoner with only a few weeks left on his sentence breaks out of prison in Central City, the Elric brothers attempt to track him down. The search leads them to Table City in the southwestern country of Creta, where Alphonse rescues a young alchemist named Julia from the very man they are trying to capture. In the thick of the fight, they literally tumble into Julia's home turf, the slums of Milos Valley, and are embroiled in the grassroots rebellion of her people.",Kazuya Murata,"['Tokyo Broadcasting System (TBS)', 'Aniplex', 'Mainichi Broadcasting System (MBS)', 'FUNimation Entertainment', 'Shochiku Company', 'Dentsu', 'Square Enix', 'Bones']"
Pacific Rim,"['Action', 'Science Fiction', 'Adventure']","When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.",Guillermo del Toro,"['Legendary Pictures', 'Warner Bros.', 'Disney Double Dare You (DDY)', 'Indochina Productions']"
